acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13626,-1434,0,16682
4095,4095,13626,-1434,0,16682
4095,4095,13627,-1498,12,16760
4095,4095,13627,-1498,12,16760
4095,4095,13628,-1430,-24,16754
4095,4095,13628,-1430,-24,16754
4095,4095,13629,-1448,-6,16614
4095,4095,13629,-1448,-6,16614
4095,4095,13630,-1450,-30,16712
4095,4095,13630,-1450,-30,16712
4095,4095,13631,-1480,-12,16784
4095,4095,13631,-1480,-12,16784
4095,4095,13632,-1500,6,16690
4095,4095,13632,-1500,6,16690
4095,4095,13633,-1522,2,16752
4095,4095,13633,-1522,2,16752
4095,4095,13634,-1468,-28,16752
4095,4095,13634,-1468,-28,16752
4095,4095,13635,-1448,-62,16676
4095,4095,13635,-1448,-62,16676
4095,4095,13636,-1488,40,16690
4095,4095,13636,-1488,40,16690
4095,4095,13637,-1494,24,16712
4095,4095,13637,-1494,24,16712
4095,4095,13638,-1526,-62,16688
4095,4095,13638,-1526,-62,16688
4095,4095,13639,-1472,2,16802
4095,4095,13639,-1472,2,16802
4095,4095,13640,-1456,-34,16768
4095,4095,13640,-1456,-34,16768
4095,4095,13641,-1468,-20,16720
4095,4095,13641,-1468,-20,16720
4095,4095,13642,-1472,-24,16726
4095,4095,13642,-1472,-24,16726
4095,4095,13643,-1488,-20,16778
4095,4095,13643,-1488,-20,16778
4095,4095,13644,-1484,34,16678
4095,4095,13644,-1484,34,16678
4095,4095,13645,-1490,-34,16702
4095,4095,13645,-1490,-34,16702
4095,4095,13646,-1440,-4,16764
4095,4095,13646,-1440,-4,16764
4095,4095,13647,-1438,-30,16666
4095,4095,13647,-1438,-30,16666
4095,4095,13648,-1478,-4,16676
4095,4095,13648,-1478,-4,16676
4095,4095,13649,-1448,-8,16746
4095,4095,13649,-1448,-8,16746
4095,4095,13650,-1424,-6,16628
4095,4095,13650,-1424,-6,16628
4095,4095,13651,-1460,-6,16704
4095,4095,13651,-1460,-6,16704
4095,4095,13652,-1462,-8,16820
4095,4095,13652,-1462,-8,16820
4095,4095,13653,-1444,-4,16810
4095,4095,13653,-1444,-4,16810
4095,4095,13654,-1490,-20,16812
4095,4095,13654,-1490,-20,16812
4095,4095,13655,-1502,-50,16788
4095,4095,13655,-1502,-50,16788
4095,4095,13656,-1500,-28,16702
4095,4095,13656,-1500,-28,16702
4095,4095,13657,-1472,-34,16700
4095,4095,13657,-1472,-34,16700
4095,4095,13658,-1466,-8,16720
4095,4095,13658,-1466,-8,16720
4095,4095,13659,-1466,-30,16688
4095,4095,13659,-1466,-30,16688
4095,4095,13660,-1478,42,16770
4095,4095,13660,-1478,42,16770
4095,4095,13661,-1448,-6,16776
